Rough Blind BruteForce/Dumb Firebase service costing;;;;;Remarks;Per Day($);Per Month($);;;;;;;;;;;;;;;;;;
;Need to think through once again and Cross check with Google;;;;;;;;;;;;;;;;;;;;;;;;
DB Reads;;;;;;;;;;;;;;;;;;;;;;;;;
;Avg Number of Users Per Second;;;60;;;;;;;;;;;;;;;;;;;;;
;Number of Users Per Day (Sanity Check);;;=E4*60*60*24;;;;=E5/1e5;Lakh people / Day;;;;;;;;;;;;;;;;
;Number of Users Per Month (Sanity Check);;30;=E5*D6;;;;=E6/1e7;Crore people / Month;;;;;;;;;;;;;;;;
;Number of DB Reads Per User;;;=10*3*2.5;Assuming on avg a user checks 2.5 districts and all 3 filters;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Number of Reads Per Minute;;60;=E4*E7*D9;;;;;;;;;;;;;;;;;;;;;
;Number of Reads Per Hour;;60;=E9*D10;;;;;;;;;;;;;;;;;;;;;
;Number of Reads Per Day;;24;=E10*D11;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Free Reads Per Day;;;=-50000;;;;;;;;;;;;;;;;;;;;;
;Total Reads Per Day;;;=E11+E13;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Reads Per ReadUnit;;100e3;;;;;;;;;;;;;;;;;;;;;;
;Number of Read Units Per Day;;;=E14/D16;;;;;;;;;;;;;;;;;;;;;
;Cost Per Unit;;0.06;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;DB Read cost per day;;;=round(E17*D18);;=E20;;;;;;;;;;;;;;;;;;;
;DB Read cost per Month;;30;=E20*D21;;;=E21;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
DB Reads Nw Cost;;;;;;;;;;;;;;;;;;;;;;;;;
;Total Reads Per Day;;;=E14;;;;;;;;;;;;;;;;;;;;;
;Size per Read;;=(64+128+6+2+6+8*3+8)*2;;(DocId,Name,Pincode,StateId,DistId,BedTypeAvail*3,TimeStamp)*adjust4Overhead;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Total bytes per day (in MBs);;;=(E25*D26)/1e6;;;;;;;;;;;;;;;;;;;;;
;Nw transfer unit (in MBs);;=1e9/1e6;;;;;;;;;;;;;;;;;;;;;;
;Number of NwTransferUnits per day;;;=round(E28/D29,2);;;;;;;;;;;;;;;;;;;;;
;NwTransferUnits per month;;30;=round(E30*D31);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Free NwTransferUnits per day;;;=-round(10/30,2);;;;;;;;;;;;;;;;;;;;;
;Total Units per day;;;=round(E30+E33,2);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Cost Per Unit;;0.12;;Taking Google cloud Network pricing Internet EGress rates (for <1TB/Month);;;;;;;;;;;;;;;;;;;;
;;;;;Assuming < 1TB/Month pricing (0.12) even thou egress in 1-10TB range (0.11) (3TB/Month);;;;;;;;;;;;;;;;;;;;
;;;;;Assuming there is no other egress/??? price for handshakes within firebase system;;;;;;;;;;;;;;;;;;;;
;Nw Egress cost per day;;;=round(E34*D36);;=E39;;;;;;;;;;;;;;;;;;;
;Nw Egress cost per month;;30;=round(E39*D40,2);;;=E40;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Phone Auth (Not used);;;;;;;;;;;;;;;;;;;;;;;;;
;Number of Admins;;;1000;;;;;;;;;;;;;;;;;;;;;
;Number of Auths Per Day Per Admin;;;12;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Number of Auths Per Day;;;=E44*E45;;;;;;;;;;;;;;;;;;;;;
;Free Auths Per Day (from Month data);;;=-round(10000/30);;;;;;;;;;;;;;;;;;;;;
;Total number of Auths Per Day;;;=E47+E48;;;;;;;;;;;;;;;;;;;;;
;Cost Per Auth;;0.01;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Phone Auth Cost per day;;;=round(E49*D50);;0;;;;;;;;;;;;;;;;;;;
;Phone Auth cost per month;;30;=E52*D53;;;0;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
DB Writes;;;;;;;;;;;;;;;;;;;;;;;;;
;Number of Admins;;;=E44;;;;;;;;;;;;;;;;;;;;;
;Updates per Hour;;;=10*(3+1.5);Each admin on avg managing 10 hospitals;;;;;;;;;;;;;;;;;;;;
;Total updates per hour;;;=E57*E58;;;;;;;;;;;;;;;;;;;;;
;Number of updates per day;;24;=E59*D60;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Free writes per day;;;-20000;;;;;;;;;;;;;;;;;;;;;
;Total writes per day;;;=E60+E62;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Writes per WriteUnit;;100e3;;;;;;;;;;;;;;;;;;;;;;
;Number of WriteUnits per day;;;=E63/D65;;;;;;;;;;;;;;;;;;;;;
;Cost Per Unit;;0.18;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;DB Write cost per day;;;=E66*D67;;=E69;;;;;;;;;;;;;;;;;;;
;DB Write cost per month;;30;=E69*D70;;;=E70;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Hosting Nw Cost;;;;;;;;;;;;;;;;;;;;;;;;;
;WebApp + Modules bundle size (MB);;;=(1e6/1e6)*0.7;Assuming partial gziping of things before transfer;;;;;;;;;;;;;;;;;;;;
;Avg New users per minute;;;=60*16;;;;;;;;;;;;;;;;;;;;;
;New users per hour;;60;=E75*D76;;;;;;;;;;;;;;;;;;;;;
;New users per day;;24;=E76*D77;;;;;;;;;;;;;;;;;;;;;
;New users per month (SanityCheck);;30;=E77*D78;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Nw transfer per day (MB);;;=E74*E77;;;;;;;;;;;;;;;;;;;;;
;Nw transfer unit (MB);;=1e9/1e6;;;;;;;;;;;;;;;;;;;;;;
;Nw tranfer units per day;;;=E80/D81;;;;;;;;;;;;;;;;;;;;;
;Cost Per Unit;;0.15;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Hosting Nw cost per day;;;=E82*D83;;=E85;;;;;;;;;;;;;;;;;;;
;Hosting Nw cost per month;;30;=E85*D86;;;=E86;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
TOTAL CLOUD COST (Very very rough estimate);;;;;;=round(sum(G1:G90));=round(sum(H1:H90));;;;;;;;;;;;;;;;;;
TOTAL CLOUD COST (Rs) (Very very rough estimate);;;=80;;;=G91*D92;=H91*D92;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
